,,,,
Duratex ,  R$ 10.000.000 ,,,
,,,,
Editora Mol ,  R$ 50.000 ,,,
,,,,
EDP ,  R$ 10.000.000 ,,,
,,,,
Eletrolux ,  R$ 226.000 ,,,
,,,,
Elopar ,  Banco do Brasil e Bradesco  ,,,
,,,,
Ematex Têxtil ,  R$ 65.000 ,,,
,,,,
EMBRAPII ,  R$ 15.500.000 ,,,
,,,,
Embracon ,  R$ 100.000 ,,,
,,,,
Enel ,  R$ 23.400.000 ,,,
,,,,
Energisa ,  R$ 6.500.000 ,,,
,,,,
Engie ,  R$ 1.290.000 ,,,
,,,,
Entrevias Concessionária de Rodovias ,  R$ 2.500.000 ,,,
,,,,
"Equinor, SBM Offshore e Prumo ",  R$ 2.500.000 ,,,
,,,,
Espaçolaser ,  R$ 1.000.000 ,,,
,,,,
Esporte Clube Olímpia ,  R$ 5.000 ,,,
,,,,
Estée Lauder Companies ,  R$ 156.000 ,,,
,,,,
Eurofarma ,  R$ 24.100.000 ,,,
,,,,
Evoltz ,  R$ 5.900.000 ,,,
,,,,
ExxonMobil ,  R$ 510.000 ,,,
,,,,
Família Moreira Salles ,  R$ 100.000.000 ,,,
,,,,
Famílias Trajano e Garcia ,  R$ 10.000.000 ,,,
,,,,
Famílias Villela e Setubal ,  R$ 50.000.000 ,,,
,,,,
Fazenda João Benko ,  R$ 3.500 ,,,
,,,,
FCA ,  R$ 11.000.000 ,,,
,,,,
Fertilizantes Tocantins ,  R$ 30.000 ,,,
,,,,
Fretebras ,  R$ 1.000.000 ,,,
,,,,
Frisia ,  R$ 150.000 ,,,
,,,,
Fundação Banco do Brasil ,  R$ 1.000.000 ,,,
,,,,
Fundação Casas Bahia ,  R$ 1.000.000 ,,,
,,,,
Fundação FEAC ,  R$ 5.000.000 ,,,
,,,,
Fundação José Luiz Egydio Setúbal ,  R$ 1.000.000 ,,,
,,,,
Fundação Lemann ,  R$ 1.000.000 ,,,
,,,,
Fundação Mapfre ,  R$ 16.000.000 ,,,
,,,,
Fundação Oswaldo Cruz ,  R$ 600.000 ,,,
,,,,
Fundação Salvador Arena ,  R$ 2.600.000 ,,,
,,,,
Fundação Telefônica Vivo ,  R$ 16.300.000 ,,,
,,,,
"Fundação Tide Setubal, Arymax e Fundação Humanize ",  R$ 4.000.000 ,,,
,,,,
Fundafresp ,  R$ 1.025.000 ,,,
,,,,
Fundo Brasil de Direitos Humanos ,  R$ 535.000 ,,,
,,,,
Fundo Financeiro para o Desenvolvimento da Bacia do Prata ,  R$ 1.560.000 ,,,
,,,,
Galvão Bueno e amigos ,  R$ 12.000.000 ,,,
,,,,
Gaules ,  R$ 156.000 ,,,
,,,,
General Mills ,  R$ 5.000.000 ,,,
,,,,
Gerdau ,  R$ 20.000.000 ,,,
,,,,
Gisele Bündchen ,  R$ 1.000.000 ,,,
,,,,
Gois Construtora e Incorporadora de Imóveis ,  R$ 5.000 ,,,
,,,,
Grupo Brasal ,  R$ 2.000.000 ,,,
,,,,
Grupo Cataratas ,  R$ 400.000 ,,,
,,,,
Grupo CCR ,  R$ 5.700.000 ,,,
,,,,
Grupo DPSP ,  R$ 1.000.000 ,,,
,,,,
Grupo Ecorodovias ,  R$ 5.000.000 ,,,
,,,,
"Grupo Fleury, Bradesco Seguros e Coca Cola Brasil e FEMSA ",  R$ 4.000.000 ,,,
,,,,
Grupo JCPM ,  R$ 168.000 ,,,
,,,,
Grupo Lunelli ,  R$ 4.250.000 ,,,
,,,,
Grupo Muffato ,  R$ 1.200.000 ,,,
,,,,
Grupo Montesanto Tavares ,  R$ 20.000 ,,,
,,,,
Grupo SLC ,  R$ 1.600.000 ,,,
,,,,
Grupo Solvi ,  R$ 10.000.000 ,,,
,,,,
Grupo Uol / Pagseguro ,  R$ 30.000.000 ,,,
,,,,
Grupo Tiradentes ,  R$ 3.000.000 ,,,
,,,,
Grupo Três Corações ,  R$ 4.700.000 ,,,
,,,,
Grupo Zaffari ,  R$ 10.000.000 ,,,
,,,,
GS Souto Engenharia ,  R$ 15.000 ,,,
,,,,
GSA Gama Sucos e Alimentos ,  R$ 500.000 ,,,
,,,,
GT Building ,  R$ 300.000 ,,,
,,,,
Gusttavo Lima ,  R$ 500.000 ,,,
,,,,
Heineken ,  R$ 16.000.000 ,,,
,,,,
Hershey's ,  R$ 1.000.000 ,,,
,,,,
Hidrovias do Brasil ,  R$ 7.000.000 ,,,
,,,,
Hydro ,  R$ 10.000.000 ,,,
,,,,
Hypofarma ,  R$ 100.000 ,,,
,,,,
 Instituto Clima e Sociedade ,  R$ 470.000 ,,,
,,,,
iFood ,  R$ 52.000.000 ,,,
,,,,
Igreja Batista Pedras Vivas ,  R$ 21.000 ,,,
,,,,
Innova ,  R$ 2.000.000 ,,,
,,,,
"Instituto Brasileiro de Petróleo, Gás e Biocombustíveis (IBP) ",  R$ 5.000.000 ,,,
,,,,
Instituto CCP ,  R$ 50.000 ,,,
,,,,
Instituto Cyrela ,  R$ 693.017 ,,,
,,,,
Instituto de Estudos Protestos de Títulos ,  R$ 20.000 ,,,
,,,,
Instituto Moreira Salles ,  R$ 500.000 ,,,
,,,,
Instituto Nordeste Cidadania ,  R$ 77.288 ,,,
,,,,
Instituto Serrapilheira ,  R$ 1.000.000 ,,,
,,,,
Ipiranga ,  R$ 20.000.000 ,,,
,,,,
IRB Brasil ,  $ 192.308 ,,,
,,,,
ISA CTEEP ,  R$ 1.500.000 ,,,
,,,,
Itaipú Binacional ,  R$ 22.000.000 ,,,
,,,,
Itaú ,  R$ 1.247.100.000 ,,,
,,,,
Itausa ,  R$ 50.000.000 ,,,
,,,,
JBS ,  R$ 400.000.000 ,,,
,,,,
JHSF ,  R$ 1.000.000 ,,,
,,,,
Johnson & Johnson ,  R$ 4.200.000 ,,,
,,,,
Kazzas ,  R$ 100.000 ,,,
,,,,
Kinross Brasil Mineração ,  R$ 2.500.000 ,,,
,,,,
Klabin ,  R$ 10.000.000 ,,,
,,,,
L'Oréal Brasil ,  R$ 4.000.000 ,,,
,,,,
Leroy Merlin ,  R$ 60.000 ,,,
,,,,
LCM Construção ,  R$ 65.000 ,,,
,,,,
Lia Queiroz Amaral ,  R$ 60.000 ,,,
,,,,
Light ,  R$ 1.500.000 ,,,
,,,,
Lions Clube de Naviraí ,  R$ 60.000 ,,,
,,,,
Localiza ,  R$ 2.000.000 ,,,
,,,,
Luciano Hang ,  R$ 135.000 ,,,
,,,,
Luciano Huck e amigos ,  R$ 1.500.000 ,,,
,,,,
Lysol ,  R$ 500.000 ,,,
,,,,
M.Dias Branco ,  R$ 2.400.000 ,,,
,,,,
M·A·C Cosmetics Brasil ,  R$ 1.000.000 ,,,
,,,,
Macalé ,  R$ 3.000 ,,,
,,,,
Manu Gavassi ,  R$ 50.000 ,,,
,,,,
Marfrig Global Foods ,  R$ 19.500.000 ,,,
,,,,
Mars ,  R$ 1.000.000 ,,,
,,,,
Mary Kay ,  R$ 100.000 ,,,
,,,,
McDonald’s Brasil ,  R$ 2.500.000 ,,,
,,,,
Memora Processos ,  R$ 5.000 ,,,
,,,,
Minasligas ,  R$ 3.000.000 ,,,
,,,,
Mineirão e Dahw Brasil ,  R$ 240.000 ,,,
,,,,
Mineração Rio do Norte ,  R$ 4.000.000 ,,,
,,,,
Minerva Foods ,  R$ 10.000.000 ,,,
,,,,
ML Mader ,  R$ 3.000 ,,,
,,,,
Mondelez ,  R$ 5.300.000 ,,,
,,,,
Mosaic Fertilizantes ,  R$ 4.500.000 ,,,
,,,,
MR Soluções em Perfurações ,  R$ 5.000 ,,,
,,,,
MRS ,  R$ 1.000.000 ,,,
,,,,
MSD Saúde Animal ,  R$ 56.000 ,,,
,,,,
Natália Pasternak ,  R$ 2.400.000 ,,,
,,,,
Natura ,  R$ 38.000.000 ,,,
,,,,
Neoenergia ,  R$ 1.500.000 ,,,
,,,,
Nestlé ,  R$ 55.000.000 ,,,
,,,,
Netflix ,  R$ 5.000.000 ,,,
,,,,
Neymar ,  R$ 5.000.000 ,,,
,,,,
Nivea ,  R$ 25.000.000 ,,,
,,,,
Norte Energia ,  R$ 6.000.000 ,,,
,,,,
Novelis ,  R$ 150.000 ,,,
,,,,
Novo Nordisk ,  R$ 1.200.000 ,,,
,,,,
Nubank ,  R$ 20.000.000 ,,,
,,,,
Nutrimental ,  R$ 480.000 ,,,
,,,,
NTS ,  R$ 6.000.000 ,,,
,,,,
Olivieri & Associados ,  R$ 9.000 ,,,
,,,,
Orla Rio Concessionária ,  R$ 35.750 ,,,
,,,,
Ouro Verde ,  R$ 1.000.000 ,,,
,,,,
P&G ,  R$ 27.000.000 ,,,
,,,,
Panvel ,  R$ 1.007.275 ,,,
,,,,
Paper Excellence ,  R$ 1.000.000 ,,,
,,,,
Par Gestão Empresaria Ltda ,  R$ 4.622 ,,,
,,,,
Paraibuna Embalagens ,  R$ 10.000 ,,,
,,,,
Park Construtora e Incorporadora de Imóveis ,  R$ 5.000 ,,,
,,,,
Pebmed ,  R$ 150.000 ,,,
,,,,
Península Participações ,  R$ 50.000.000 ,,,
,,,,
Pepsico ,  R$ 6.000.000 ,,,
,,,,
Petrobras ,  R$ 30.000.000 ,,,
,,,,
Philips Morris Brasil ,  R$ 2.000.000 ,,,
,,,,
PicPay ,  R$ 903.508 ,,,
,,,,
PIF PAF ,  R$ 1.000.000 ,,,
,,,,
PIrelli ,  R$ 4.000.000 ,,,
,,,,
Positivo Tecnologia ,  R$ 4.200.000 ,,,
,,,,
Praticagem do Brasil ,  R$ 10.200.000 ,,,
,,,,
Qualicorp ,  R$ 12.000.000 ,,,
,,,,
Quero,  R$ 500.000 ,,,
,,,,
Rafa Kaliman ,  R$ 150.000 ,,,
,,,,
Rede D'Or ,  R$ 108.000.000 ,,,
,,,,
Rede Iguatemi ,  R$ 8.000.000 ,,,
,,,,
Rede Ímpar e Rede D'Or ,  R$ 4.000.000 ,,,
,,,,
