 Mach Number             Cd Rocket - (Unpowered) Cd - Rocket (Powered)   Body Skin Friction      Nose Pressure Drag      Base Drag               Body Pressure Drag      Fin Pressure Drag       Interference Drag       Fin Skin Friction      
 0.00000000000000E+0000  3.42625061768133E-0001  3.40218918697396E-0001  1.30349617561632E-0001  0.00000000000000E+0000  8.03235909045772E-0002  7.25436410893183E-0003  2.11892675714062E-0005  2.73734196879427E-0002  9.73028802374779E-0002 
 1.50000000000000E-0002  4.20038891055098E-0001  4.18177070601436E-0001  2.17709340823424E-0001  0.00000000000000E+0000  6.21526235395105E-0002  1.21162060755714E-0002  2.13210188239096E-0005  4.57189615729190E-0002  8.23204380248488E-0002 
 3.00000000000000E-0002  3.97255633941549E-0001  3.95350993259295E-0001  2.08030275431747E-0001  0.00000000000000E+0000  6.35820790718019E-0002  1.15775357986741E-0002  2.22432540551093E-0005  4.36863578406669E-0002  7.03571425446041E-0002 
 4.50000000000000E-0002  3.85553086604459E-0001  3.83616949914293E-0001  2.01317081993636E-0001  0.00000000000000E+0000  6.46335013605917E-0002  1.12039255768357E-0002  2.47462563622501E-0005  4.22765872186635E-0002  6.60972441983699E-0002 
 6.00000000000000E-0002  3.84865148243062E-0001  3.82925946076586E-0001  2.00681103981536E-0001  0.00000000000000E+0000  6.47358352858300E-0002  1.11685314103521E-0002  2.96196534190278E-0005  4.21430318361226E-0002  6.61070260758023E-0002 
 7.50000000000000E-0002  3.84920875834907E-0001  3.82981858490045E-0001  2.00719362508110E-0001  0.00000000000000E+0000  6.47296654383835E-0002  1.11706606170750E-0002  3.76516620470643E-0005  4.21510661267031E-0002  6.61124694825885E-0002 
 9.00000000000000E-0002  3.84962040789565E-0001  3.83023145895487E-0001  2.00744716146332E-0001  0.00000000000000E+0000  6.47255776985808E-0002  1.11720716263790E-0002  4.96280327196209E-0005  4.21563903907297E-0002  6.61136568948237E-0002 
 1.05000000000000E-0001  3.84989772735456E-0001  3.83050939127138E-0001  2.00757407268270E-0001  0.00000000000000E+0000  6.47235318134783E-0002  1.11727779270280E-0002  6.63306971066842E-0005  4.21590555263366E-0002  6.61106695032366E-0002 
 1.20000000000000E-0001  3.85005191039594E-0001  3.83066358721695E-0001  2.00757674502582E-0001  0.00000000000000E+0000  6.47234887357872E-0002  1.11727927994537E-0002  8.85361236898137E-0005  4.21591116455422E-0002  6.61035872325388E-0002 
 1.35000000000000E-0001  3.85009402922719E-0001  3.83070513034841E-0001  2.00745752790479E-0001  0.00000000000000E+0000  6.47254105780398E-0002  1.11721293188696E-0002  1.17013388846793E-0004  4.21566080860007E-0002  6.60924887604825E-0002 
 1.50000000000000E-0001  3.85003501300852E-0001  3.83064496084107E-0001  2.00721873440850E-0001  0.00000000000000E+0000  6.47292605688470E-0002  1.11708003583392E-0002  1.52521973604310E-0004  4.21515934225786E-0002  6.60774515366321E-0002 
 1.65000000000000E-0001  3.84988562366554E-0001  3.83049385131383E-0001  2.00686264184564E-0001  0.00000000000000E+0000  6.47350030111342E-0002  1.11688185917980E-0002  1.95809299445259E-0004  4.21441154787585E-0002  6.60585518008538E-0002 
 1.80000000000000E-0001  3.84965642926729E-0001  3.83026238021913E-0001  2.00639149227961E-0001  0.00000000000000E+0000  6.47426032422514E-0002  1.11661964970303E-0002  2.47608020087697E-0004  4.21342213378718E-0002  6.60358646015268E-0002 
 1.95000000000000E-0001  3.84935777517616E-0001  3.82996090300432E-0001  2.00580749305545E-0001  0.00000000000000E+0000  6.47520275958594E-0002  1.11629463586021E-0002  3.08633089963739E-0004  4.21219573541644E-0002  6.60094638134815E-0002 
 2.10000000000000E-0001  3.84899975321642E-0001  3.82959952129110E-0001  2.00511281731887E-0001  0.00000000000000E+0000  6.47632433654979E-0002  1.11590802707492E-0002  3.79578634144454E-0004  4.21073691636962E-0002  6.59794221556672E-0002 
 2.25000000000000E-0001  3.84859216914956E-0001  3.82918805036128E-0001  2.00430960452755E-0001  0.00000000000000E+0000  6.47762187697514E-0002  1.11546101402232E-0002  4.61114648592837E-0004  4.20905016950785E-0002  6.59458112085550E-0002 
 2.40000000000000E-0001  3.84814450878610E-0001  3.82873598527858E-0001  2.00339996095479E-0001  0.00000000000000E+0000  6.47909229189271E-0002  1.11495476890940E-0002  5.53883563780426E-0004  4.20713991800506E-0002  6.59087014312784E-0002 
 2.55000000000000E-0001  3.84844010611932E-0001  3.82902666903191E-0001  2.00238596018564E-0001  0.00000000000000E+0000  6.48073257831715E-0002  1.11439044575113E-0002  6.58496708761422E-0004  4.20501051638985E-0002  6.59455824800254E-0002 
 2.70000000000000E-0001  3.85025984085072E-0001  3.83084099006996E-0001  2.00126964360560E-0001  0.00000000000000E+0000  6.48253981619505E-0002  1.11376918064243E-0002  7.75530716639290E-0004  4.20266625157177E-0002  6.61337365237795E-0002 
 2.85000000000000E-0001  3.85206231870831E-0001  3.83263756262828E-0001  2.00005302088206E-0001  0.00000000000000E+0000  6.48451116548256E-0002  1.11309209202607E-0002  9.05523915855693E-0004  4.20011134385232E-0002  6.63182598531601E-0002 
 3.00000000000000E-0001  3.85385505260959E-0001  3.83442390790060E-0001  1.99873807043846E-0001  0.00000000000000E+0000  6.48664386334616E-0002  1.11236028095662E-0002  1.04897275474830E-0003  4.19734994792077E-0002  6.64991845401285E-0002 
 3.15000000000000E-0001  3.85564506902365E-0001  3.83620706040901E-0001  1.99732673992151E-0001  0.00000000000000E+0000  6.48893522148047E-0002  1.11157483136040E-0002  1.20632830923127E-0003  4.19438615383518E-0002  6.66765425342217E-0002 
